Dataset,Model,TN,FP,FN,TP
dataset,alexnet,54,1,0,38
dataset_variants/contrast_level_1,alexnet,54,1,0,38
dataset_variants/contrast_level_2,alexnet,54,1,0,38
dataset_variants/contrast_level_3,alexnet,55,0,2,36
dataset_variants/contrast_level_4,alexnet,55,0,5,33
dataset_variants/contrast_level_5,alexnet,48,7,17,21
dataset_variants/noise_level_1,alexnet,54,1,0,38
dataset_variants/noise_level_2,alexnet,54,1,0,38
dataset_variants/noise_level_3,alexnet,54,1,0,38
dataset_variants/noise_level_4,alexnet,51,4,0,38
dataset_variants/noise_level_5,alexnet,42,13,4,34
dataset,vgg16,55,0,0,38
dataset_variants/contrast_level_1,vgg16,55,0,0,38
dataset_variants/contrast_level_2,vgg16,55,0,0,38
dataset_variants/contrast_level_3,vgg16,55,0,0,38
dataset_variants/contrast_level_4,vgg16,55,0,2,36
dataset_variants/contrast_level_5,vgg16,55,0,2,36
dataset_variants/noise_level_1,vgg16,55,0,0,38
dataset_variants/noise_level_2,vgg16,54,1,0,38
dataset_variants/noise_level_3,vgg16,55,0,3,35
dataset_variants/noise_level_4,vgg16,54,1,2,36
dataset_variants/noise_level_5,vgg16,55,0,5,33
dataset,resnet18,55,0,1,37
dataset_variants/contrast_level_1,resnet18,55,0,1,37
dataset_variants/contrast_level_2,resnet18,55,0,1,37
dataset_variants/contrast_level_3,resnet18,55,0,1,37
dataset_variants/contrast_level_4,resnet18,55,0,1,37
dataset_variants/contrast_level_5,resnet18,54,1,2,36
dataset_variants/noise_level_1,resnet18,55,0,1,37
dataset_variants/noise_level_2,resnet18,55,0,1,37
dataset_variants/noise_level_3,resnet18,54,1,0,38
dataset_variants/noise_level_4,resnet18,52,3,0,38
dataset_variants/noise_level_5,resnet18,49,6,1,37
