Dataset,Model,TN,FP,FN,TP
dataset,alexnet,53,2,0,38
dataset_variants/jigsaw_level_1,alexnet,49,6,0,38
dataset_variants/jigsaw_level_2,alexnet,45,10,0,38
dataset_variants/jigsaw_level_3,alexnet,30,25,5,33
dataset_variants/jigsaw_level_4,alexnet,25,30,29,9
dataset_variants/eidolon_level_1,alexnet,45,10,0,38
dataset_variants/eidolon_level_2,alexnet,48,7,2,36
dataset_variants/eidolon_level_3,alexnet,54,1,26,12
dataset_variants/eidolon_level_4,alexnet,55,0,38,0
dataset_variants/eidolon_level_5,alexnet,55,0,38,0
dataset,vgg16,55,0,0,38
dataset_variants/jigsaw_level_1,vgg16,54,1,0,38
dataset_variants/jigsaw_level_2,vgg16,51,4,0,38
dataset_variants/jigsaw_level_3,vgg16,35,20,0,38
dataset_variants/jigsaw_level_4,vgg16,19,36,4,34
dataset_variants/eidolon_level_1,vgg16,54,1,3,35
dataset_variants/eidolon_level_2,vgg16,53,2,11,27
dataset_variants/eidolon_level_3,vgg16,55,0,36,2
dataset_variants/eidolon_level_4,vgg16,55,0,38,0
dataset_variants/eidolon_level_5,vgg16,55,0,38,0
dataset,resnet18,55,0,0,38
dataset_variants/jigsaw_level_1,resnet18,54,1,2,36
dataset_variants/jigsaw_level_2,resnet18,49,6,0,38
dataset_variants/jigsaw_level_3,resnet18,46,9,4,34
dataset_variants/jigsaw_level_4,resnet18,43,12,20,18
dataset_variants/eidolon_level_1,resnet18,55,0,2,36
dataset_variants/eidolon_level_2,resnet18,54,1,10,28
dataset_variants/eidolon_level_3,resnet18,54,1,29,9
dataset_variants/eidolon_level_4,resnet18,54,1,38,0
dataset_variants/eidolon_level_5,resnet18,55,0,37,1
