Image,True,Pred,Condition
dataset_variants/noise_level_1/test\siamese_cat\000007.jpg,1,1,Noise_L1
dataset_variants/contrast_level_4/test\persian_cat\000019.jpg,0,0,Contrast_L4
dataset_variants/noise_level_4/test\persian_cat\000050.jpg,0,0,Noise_L4
dataset_variants/contrast_level_3/test\persian_cat\000030.jpg,0,0,Contrast_L3
dataset_variants/noise_level_5/test\persian_cat\000053.jpg,0,0,Noise_L5
dataset_variants/noise_level_3/test\persian_cat\000001.jpg,0,0,Noise_L3
dataset_variants/contrast_level_1/test\persian_cat\000022.jpg,0,0,Contrast_L1
dataset_variants/contrast_level_1/test\persian_cat\000027.jpg,0,0,Contrast_L1
dataset_variants/noise_level_5/test\persian_cat\000014.jpg,0,0,Noise_L5
dataset_variants/noise_level_5/test\persian_cat\000046.jpg,0,0,Noise_L5
dataset_variants/noise_level_5/test\siamese_cat\000029.jpg,1,1,Noise_L5
dataset/test\siamese_cat\000028.jpg,1,1,Original
dataset_variants/contrast_level_2/test\siamese_cat\000022.jpg,1,1,Contrast_L2
dataset_variants/noise_level_2/test\persian_cat\000029.jpg,0,0,Noise_L2
dataset_variants/contrast_level_3/test\persian_cat\000053.jpg,0,0,Contrast_L3
dataset_variants/contrast_level_2/test\siamese_cat\000029.jpg,1,1,Contrast_L2
dataset_variants/contrast_level_4/test\siamese_cat\000024.jpg,1,1,Contrast_L4
dataset_variants/contrast_level_3/test\siamese_cat\000005.jpg,1,1,Contrast_L3
dataset_variants/noise_level_3/test\persian_cat\000008.jpg,0,0,Noise_L3
dataset_variants/noise_level_4/test\persian_cat\000038.jpg,0,0,Noise_L4
dataset_variants/contrast_level_1/test\persian_cat\000038.jpg,0,0,Contrast_L1
dataset/test\persian_cat\000053.jpg,0,0,Original
dataset_variants/noise_level_1/test\persian_cat\000046.jpg,0,0,Noise_L1
dataset_variants/noise_level_6/test\siamese_cat\000027.jpg,1,1,Noise_L6
dataset_variants/noise_level_6/test\persian_cat\000007.jpg,0,0,Noise_L6
dataset_variants/contrast_level_1/test\siamese_cat\000034.jpg,1,1,Contrast_L1
dataset_variants/contrast_level_5/test\siamese_cat\000005.jpg,1,1,Contrast_L5
dataset_variants/noise_level_3/test\persian_cat\000006.jpg,0,0,Noise_L3
dataset_variants/noise_level_1/test\siamese_cat\000019.jpg,1,1,Noise_L1
dataset_variants/noise_level_4/test\siamese_cat\000025.jpg,1,1,Noise_L4
dataset_variants/noise_level_5/test\persian_cat\000024.jpg,0,0,Noise_L5
dataset_variants/noise_level_4/test\persian_cat\000015.jpg,0,0,Noise_L4
dataset/test\persian_cat\000043.jpg,0,0,Original
dataset_variants/noise_level_3/test\siamese_cat\000020.jpg,1,1,Noise_L3
dataset_variants/contrast_level_4/test\siamese_cat\000029.jpg,1,1,Contrast_L4
dataset_variants/contrast_level_1/test\persian_cat\000015.jpg,0,0,Contrast_L1
dataset_variants/noise_level_2/test\persian_cat\000011.jpg,0,0,Noise_L2
dataset_variants/contrast_level_5/test\siamese_cat\000025.jpg,1,1,Contrast_L5
dataset_variants/noise_level_5/test\persian_cat\000021.jpg,0,0,Noise_L5
dataset_variants/noise_level_2/test\persian_cat\000020.jpg,0,0,Noise_L2
dataset_variants/noise_level_1/test\siamese_cat\000015.jpg,1,0,Noise_L1
dataset_variants/noise_level_6/test\persian_cat\000013.jpg,0,0,Noise_L6
dataset_variants/contrast_level_4/test\siamese_cat\000031.jpg,1,1,Contrast_L4
dataset_variants/contrast_level_5/test\siamese_cat\000010.jpg,1,1,Contrast_L5
dataset_variants/contrast_level_5/test\persian_cat\000044.jpg,0,0,Contrast_L5
dataset/test\persian_cat\000051.jpg,0,0,Original
dataset_variants/contrast_level_5/test\siamese_cat\000013.jpg,1,1,Contrast_L5
dataset_variants/noise_level_1/test\persian_cat\000052.jpg,0,0,Noise_L1
dataset_variants/noise_level_4/test\persian_cat\000048.jpg,0,0,Noise_L4
dataset_variants/noise_level_1/test\siamese_cat\000032.jpg,1,1,Noise_L1
dataset/test\persian_cat\000048.jpg,0,0,Original
dataset_variants/noise_level_4/test\persian_cat\000028.jpg,0,0,Noise_L4
dataset_variants/contrast_level_1/test\siamese_cat\000006.jpg,1,1,Contrast_L1
